	rank	website	category	change	avg_visit_duration	pages/visit	bounce_rate	subcategory
65	16	russianfood.com	Food and Drink	-3	00:03:04	2.62	0.45649999999999996	Cooking and Recipes
66	17	kroger.com	Food and Drink	-3	00:05:00	6.25	0.23370000000000002	
67	18	mcdonalds.com	Food and Drink	1	00:01:46	2.1	0.6695	Restaurants and Delivery
68	19	foodnetwork.com	Food and Drink	-3	00:01:59	2.32	0.6296	Cooking and Recipes
69	20	papajohns.com	Food and Drink	1	00:07:38	8.65	0.22699999999999998	Restaurants and Delivery
70	21	starbucks.com	Food and Drink	-3	00:02:12	3.3	0.5971	Restaurants and Delivery
71	22	giallozafferano.it	Food and Drink	1	00:04:00	2.7	0.5434	Cooking and Recipes
72	23	sainsburys.co.uk	Food and Drink	1	00:06:23	11.48	0.2195	Food and Grocery Retailers
73	24	xiachufang.com	Food and Drink	-4	00:02:24	2.71	0.5468	
74	25	yemeksepeti.com	Food and Drink	-3	00:08:42	7.19	0.2327	Restaurants and Delivery
75	26	eat.co.uk	Food and Drink	2	00:06:44	8.38	0.2498	Restaurants and Delivery
76	27	food.com	Food and Drink	-10	00:01:57	2.64	0.5525	Cooking and Recipes
77	28	kfc.com.cn	Food and Drink	1	00:00:39	1.47	0.7291	Restaurants and Delivery
78	29	delish.com	Food and Drink	-2	00:02:12	5.5	0.578	Cooking and Recipes
79	30	meishichina.com	Food and Drink	3	00:01:26	3.35	0.5912	
80	31	grubhub.com	Food and Drink	9	00:06:32	6.16	0.3061	Restaurants and Delivery
81	32	thekitchn.com	Food and Drink	5	00:01:11	1.69	0.7748999999999999	Cooking and Recipes
82	33	retty.me	Food and Drink	-7	00:02:50	2.92	0.5174	
83	34	woolworths.com.au	Food and Drink	2	00:06:08	11.65	0.3577	Food and Grocery Retailers
84	35	edimdoma.ru	Food and Drink	=	00:01:28	1.66	0.6890000000000001	Cooking and Recipes
85	36	nefisyemektarifleri.com	Food and Drink	-6	00:02:42	2.68	0.6243	Cooking and Recipes
86	37	meishij.net	Food and Drink	-12	00:01:14	1.7	0.7031999999999999	Cooking and Recipes
87	38	haodou.com	Food and Drink	-7	00:00:54	1.86	0.6286	Cooking and Recipes
88	39	openrice.com	Food and Drink	-7	00:03:57	5.09	0.4376	Restaurants and Delivery
89	40	seriouseats.com	Food and Drink	3	00:01:53	2.18	0.5828	Cooking and Recipes
90	41	povarenok.ru	Food and Drink	-7	00:02:48	2.72	0.5906	Cooking and Recipes
91	42	opentable.com	Food and Drink	-3	00:03:19	4.45	0.3519	Restaurants and Delivery
92	43	xinshipu.com	Food and Drink	-5	00:02:21	4.0	0.4004	
93	44	foody.vn	Food and Drink	-3	00:03:41	4.08	0.519	
94	45	coles.com.au	Food and Drink	-3	00:06:18	14.4	0.26739999999999997	Food and Grocery Retailers
95	46	tasteofhome.com	Food and Drink	2	00:02:12	4.02	0.6294	Cooking and Recipes
96	47	bbcgoodfood.com	Food and Drink	3	00:01:34	1.81	0.7069	Cooking and Recipes
97	48	douguo.com	Food and Drink	-4	00:01:00	1.5	0.7143	Cooking and Recipes
98	49	ele.me	Food and Drink	3	00:04:19	5.21	0.45380000000000004	Restaurants and Delivery
99	50	ah.nl	Food and Drink	-1	00:03:26	4.84	0.4827	
100	1	lifescript.com	Health	=	00:03:16	4.06	0.4818	Nutrition
101	2	vitacost.com	Health	=	00:06:17	6.29	0.44939999999999997	Nutrition
102	3	gnc.com	Health	=	00:02:52	3.28	0.5511	Nutrition
103	4	nucific.com	Health	new	00:01:01	2.33	0.3529	Nutrition
104	5	vitaminshoppe.com	Health	=	00:03:43	4.12	0.4336	Nutrition
105	6	dietdoctor.com	Health	new	00:02:47	2.68	0.61	Nutrition
106	7	calorizator.ru	Health	-3	00:01:53	1.82	0.6890000000000001	Nutrition
107	8	bikini.fr	Health	-1	00:01:44	2.69	0.5913	Nutrition
108	9	fddb.info	Health	-3	00:02:28	5.34	0.5947	Nutrition
109	10	examine.com	Health	=	00:01:40	2.07	0.7029000000000001	Nutrition
110	11	nutritionfacts.org	Health	=	00:02:55	2.11	0.6063000000000001	Nutrition
111	12	laguiadelasvitaminas.com	Health	-3	00:01:39	1.44	0.7885	Nutrition
112	13	cronometer.com	Health	-5	00:03:23	2.24	0.6511	Nutrition
113	14	fabrykasily.pl	Health	-2	00:02:00	2.15	0.6527	Nutrition
114	15	atkins.com	Health	1	00:03:04	2.42	0.5936	Nutrition
115	16	nutritionix.com	Health	1	00:00:55	2.5	0.6775	Nutrition
116	17	marksdailyapple.com	Health	1	00:01:19	1.65	0.7428	Nutrition
117	18	davidwolfe.com	Health	3	00:00:59	1.29	0.846	Nutrition
118	19	lifeextension.com	Health	-5	00:02:14	2.61	0.6008	Nutrition
119	20	ketodietapp.com	Health	3	00:02:25	2.07	0.7545999999999999	Nutrition
120	21	starbene.it	Health	-1	00:00:48	1.44	0.7867000000000001	Nutrition
121	22	dietascormillot.com	Health	4	00:01:52	2.05	0.4314	Nutrition
122	23	steptohealth.com	Health	-8	00:01:45	2.61	0.49729999999999996	Nutrition
123	24	onnit.com	Health	1	00:02:17	2.3	0.6377	Nutrition
124	25	smartbmicalculator.com	Health	-1	00:02:21	3.07	0.30760000000000004	Nutrition
125	26	eiyoukeisan.com	Health	-4	00:01:31	1.62	0.7458	Nutrition
126	27	whfoods.com	Health	-8	00:01:23	1.57	0.7027	Nutrition
127	28	optimale.com	Health	new	00:01:41	1.26	0.8162999999999999	Nutrition
128	29	healthyfoodteam.com	Health	23	00:01:17	1.17	0.8559	Nutrition
129	30	organicauthority.com	Health	-2	00:00:54	1.2	0.8238	Nutrition
130	31	myhealthtips.in	Health	3	00:00:35	1.13	0.8673000000000001	Nutrition
131	32	nutrition.org	Health	-5	00:02:03	2.12	0.45380000000000004	Nutrition
132	33	drjulianopimentel.com.br	Health	new	00:01:02	1.29	0.8227	Nutrition
133	34	mev0.com	Health	new	00:04:44	4.24	0.45799999999999996	Nutrition
134	35	infoactusante.com	Health	new	00:00:37	1.59	0.5347	Nutrition
135	36	dietaeboasaude.com.br	Health	-4	00:02:26	1.28	0.8020999999999999	Nutrition
136	37	ilfattoalimentare.it	Health	5	00:01:29	1.55	0.7065	Nutrition
137	38	lanutrition.fr	Health	-3	00:01:57	2.42	0.6839	Nutrition
138	39	knowthecause.com	Health	new	00:11:42	15.82	0.2418	Nutrition
139	40	calorieking.com.au	Health	24	00:03:21	6.88	0.1833	Nutrition
