	rank	website	category	change	avg_visit_duration	pages/visit	bounce_rate	subcategory
344	45	eastday.com	News and Media	-1	00:03:01	2.63	0.6148	
345	46	interia.pl	News and Media	-3	00:05:52	5.4	0.33	
346	47	detik.com	News and Media	3	00:06:54	4.13	0.39890000000000003	
347	48	zing.vn	News and Media	=	00:08:13	4.74	0.4539	
348	49	pixnet.net	News and Media	-2	00:04:06	2.35	0.5896	Magazines and E Zines
349	50	marca.com	News and Media	-1	00:10:27	5.8	0.327	Sports News
350	1	ssl.com	Science	1	00:00:56	1.51	0.758	Biology
351	2	cdn.com	Science	1	00:00:45	1.39	0.7757999999999999	Biology
352	3	genepi.org	Science	-2	00:06:34	4.79	0.4769	Biology
353	4	iusacell3g.com	Science	2				Biology
354	5	pnas.org	Science	-1	00:01:41	2.19	0.4108	Biology
355	6	cell.com	Science	-1	00:02:30	3.06	0.3779	Biology
356	7	todabiologia.com	Science	=	00:02:17	1.58	0.7393000000000001	Biology
357	8	ebi.ac.uk	Science	=	00:04:00	4.13	0.5843	Biology
358	9	asm.org	Science	=	00:02:20	1.97	0.6028	Biology
359	10	genscript.com	Science	73	00:02:10	10.22	0.6627	Biology
360	11	professor.bio.br	Science	6	00:02:36	1.68	0.6785	Biology
361	12	rcsb.org	Science	2	00:03:51	4.16	0.5096	Biology
362	13	dxy.com	Science	2	00:00:35	1.66	0.7918999999999999	Biology
363	14	physiology.org	Science	11	00:01:54	2.8	0.3934	Biology
364	15	5858.com	Science	-2	00:00:53	1.57	0.7179000000000001	Biology
365	16	neb.com	Science	3	00:03:35	3.06	0.5618	Biology
366	17	auladeanatomia.com	Science	10	00:04:01	2.05	0.6474	Biology
367	18	royalsocietypublishing.org	Science	3	00:01:57	1.89	0.6086	Biology
368	19	cshlp.org	Science	19	00:01:03	2.38	0.4043	Biology
369	20	insectidentification.org	Science	-10	00:03:10	4.78	0.47909999999999997	Biology
370	21	biorxiv.org	Science	7	00:02:05	2.31	0.5217	Biology
371	22	waploaded.com	Science	1	00:01:51	2.22	0.6496999999999999	Biology
372	23	lonerwolf.com	Science	-12	00:01:51	1.57	0.7556999999999999	Biology
373	24	expasy.org	Science	20	00:04:38	3.9	0.4732	Biology
374	25	broadinstitute.org	Science	-3	00:06:47	4.94	0.4217	Biology
375	26	bioone.org	Science	4	00:01:51	2.74	0.35200000000000004	Biology
376	27	addgene.org	Science	-7	00:03:46	3.56	0.4816	Biology
377	28	bio.com	Science	22	00:10:15	4.97	0.42579999999999996	Biology
378	29	genecards.org	Science	-13	00:02:55	2.63	0.6786	Biology
379	30	schule.de	Science	24	00:03:07	1.67	0.7026	Biology
380	31	biologists.org	Science	=	00:01:53	1.92	0.5863	Biology
381	32	mtnirancell.ir	Science	5	00:02:41	2.15	0.4304	Biology
382	33	omim.org	Science	31	00:02:48	2.87	0.6444	Biology
383	34	sanger.ac.uk	Science	12	00:17:42	16.31	0.5663	Biology
384	35	tmcell.tm	Science	-17	00:02:14	2.84	0.7259	Biology
385	36	ensembl.org	Science	-3	00:07:35	7.09	0.2898	Biology
386	37	zoo.net	Science	-13	00:02:49	3.17	0.40149999999999997	Biology
387	38	genexies.net	Science	7	00:00:38	1.28	0.8518000000000001	Biology
388	39	genome.gov	Science	-3	00:01:14	2.05	0.5253	Biology
389	40	pages.info	Science	21	00:01:00	1.31	0.8178	Biology
390	41	genome.jp	Science	-2	00:05:15	5.36	0.4669	Biology
391	42	nehircell.com.tr	Science	-16				Biology
392	43	popco.net	Science	-8	00:04:10	4.29	0.42450000000000004	Biology
393	44	jax.org	Science	-3	00:03:25	3.2	0.56	Biology
394	45	zoocdn.com	Science	-3	00:02:07	1.53	0.7056	Biology
395	46	pebblego.com	Science	new	00:05:05	7.66	0.2915	Biology
396	47	embl.de	Science	-7	00:05:36	5.1	0.42729999999999996	Biology
397	48	sbio.info	Science	new	00:01:56	1.27	0.8105	Biology
398	49	atcc.org	Science	16	00:03:10	3.17	0.5717	Biology
399	50	emdmillipore.com	Science	29	00:00:55	1.81	0.7064	Biology
450	1	noaa.gov	Science	1	00:03:48	3.56	0.4355	Environment
451	2	researchgate.net	Science	-1	00:02:35	2.72	0.5472	
452	3	infourok.ru	Science	23	00:02:57	1.77	0.6953	Educational Resources
453	4	mathworks.com	Science	1	00:05:45	4.46	0.3519	
454	5	howstuffworks.com	Science	-2	00:01:58	2.23	0.6701999999999999	
455	6	rae.es	Science	-2	00:03:23	3.82	0.3882	Social Sciences
456	7	acs.org	Science	1	00:07:46	3.37	0.3765	Chemistry
457	8	symbolab.com	Science	15	00:08:26	4.17	0.1938	Math
458	9	livescience.com	Science	=	00:01:14	1.43	0.7759999999999999	
459	10	sciences.com	Science	3	00:01:55	1.94	0.6399	
460	11	tropicaltidbits.com	Science	50	00:04:32	5.15	0.39399999999999996	
461	12	scientificamerican.com	Science	2	00:01:06	1.44	0.7867000000000001	
462	13	brainly.com	Science	2	00:05:21	4.44	0.5393	Educational Resources
463	14	webofknowledge.com	Science	24	00:05:30	8.04	0.32409999999999994	
464	15	mars.jp	Science	4	00:02:10	1.67	0.7209	Astronomy
466	17	cnpq.br	Science	-6	00:07:44	8.82	0.2078	Engineering and Technology
467	18	jst.go.jp	Science	2	00:02:29	2.84	0.5463	
468	19	isky.am	Science	-12	00:09:22	28.9	0.0917	Astronomy
469	20	graaam.com	Science	-14	00:05:56	3.59	0.6644	Social Sciences
470	21	sciencealert.com	Science	6	00:01:05	1.41	0.7862	
471	22	wolfram.com	Science	10	00:02:05	2.31	0.6820999999999999	Math
472	23	phys.org	Science	8	00:01:28	1.96	0.6164000000000001	
473	24	socratic.org	Science	23	00:01:37	1.54	0.6605	Math
474	25	calculatorsoup.com	Science	18	00:03:39	3.1	0.4802	Math
475	26	redalyc.org	Science	8	00:02:29	1.88	0.6735	
477	28	minhaji.net	Science	new	00:05:51	6.99	0.39640000000000003	Social Sciences
478	29	rsc.org	Science	11	00:02:34	2.45	0.5416	Chemistry
479	30	newscientist.com	Science	6	00:01:19	1.99	0.5676	
480	31	sciencesetavenir.fr	Science	-1	00:16:00	3.28	0.6606000000000001	
481	32	convertunits.com	Science	-3	00:01:25	1.34	0.7961	Math
483	34	wanfangdata.com.cn	Science	30	00:03:10	4.14	0.5462	
484	35	hwaml.com	Science	-2	00:02:10	1.66	0.7365	Social Sciences
485	36	popmech.ru	Science	5	00:01:56	1.97	0.6789000000000001	
486	37	ruansky.com	Science	-13	00:01:38	2.88	0.7683	Astronomy
487	38	corourbano.com	Science	-1	00:03:46	3.07	0.46240000000000003	Social Sciences
488	39	technet.idnes.cz	Science	new	00:02:49	2.94	0.5622	
489	40	subject.com.ua	Science	new	00:02:25	1.7	0.6794	Social Sciences
491	42	beemp3s.net	Science	15	00:02:49	1.96	0.525	Agriculture
492	43	mnn.com	Science	2	00:01:12	2.18	0.7486	Environment
493	44	schoolsoft.se	Science	new	00:06:12	8.13	0.1159	Social Sciences
494	45	flamp.ru	Science	-10	00:02:39	2.92	0.5609000000000001	Social Sciences
495	46	cyberleninka.ru	Science	40	00:02:10	2.22	0.6168	
496	47	cnrs.fr	Science	24	00:03:01	3.86	0.541	Environment
497	48	youmath.it	Science	22	00:03:33	1.94	0.6679999999999999	Math
498	49	geology.com	Science	16	00:01:48	1.84	0.6433	Earth Sciences
499	50	cern.ch	Science	-1	00:06:12	6.12	0.4058	Physics
